Country,Region,Site,Zone ,Latitude (DD),Longitude (DD),Period,Phase,Start BP,End BP,Radiocarbon Dates (BP),Sourc(es),Table(s) Included,Total Chipped Stone,Total Chert ,Total Obsidian,Total Blade,Total Obstdion/Total Chipped Stone,Blade Ratio (Total Blades/Total Obsidian),Blade Ratio (Total Blades/Total Chipped Stone),P&G Platform,P&G Ratio,Notes,Comments,,,,,,,,,,
Honduras ,Copan Valley,Copan(El Bosque),10L-19(IV/123),14.83980278,-89.14470556,Early Classic,Acbi,1550,1350,,Aoyama (1999),"A1, A2.",88,34,54,42,0.613636364,0.777777778,0.477272727,,,From the Vega Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(El Bosque),10L-5(IV/124),14.83952778,-89.14285556,Early Classic,Acbi,1550,1350,,Aoyama (1999),"A1, A2.",197,67,130,99,0.659898477,0.761538462,0.502538071,,,From the Vega Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(El Bosque),(IV/124),14.83952778,-89.14285556,Early Classic,Acbi,1550,1350,,Aoyama (1999),A2,359,0,359,276,1,0.768802228,0.768802228,,,From the Vega Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(El Bosque),(IV/129),14.83920833,-89.15248889,Early Classic,Acbi,1550,1350,,Aoyama (1999),A2,28,0,28,18,1,0.642857143,0.642857143,,,From the Vega Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(El Bosque),V.S.(IV/124),14.83952778,-89.14285556,Early Classic,Acbi,1550,1350,,Aoyama (1999),A1,102,102,0,0,0,0,0,,,From the Vega Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(El Bosque),10L-10(IV/153),14.83615556,-89.14418611,Early Classic,Acbi,1550,1350,,Aoyama (1999),"A1, A2.",153,33,120,94,0.784313725,0.783333333,0.614379085,,,From the Vega Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(PrincipalGroup),"10L-1(Below Yax Str lot *37/5,*37/8",14.83821667,-89.14141111,Early Classic,Acbi,1550,1350,,Aoyama (1999),"A1, A2.",128,20,108,75,0.84375,0.694444444,0.5859375,,,From the Vega Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(PrincipalGroup),10L-1(Yax Str. lot *37/5),14.83821667,-89.14141111,Early Classic,Acbi,1550,1350,,Aoyama (1999),"A1, A2.",121,39,82,61,0.67768595,0.743902439,0.504132231,,,From the Vega Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(PrincipalGroup),10L-1(Motmot Str. lot *37/5),14.83821667,-89.14141111,Early Classic,Acbi,1550,1350,,Aoyama (1999),"A1, A2.",125,10,115,80,0.92,0.695652174,0.64,,,From the Vega Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(PrincipalGroup),10L-1(Gran Corniza Platform lot 37/5/287,14.83821667,-89.14141111,Early Classic,Acbi,1550,1350,,Aoyama (1999),"A1, A2.",968,1,967,614,0.998966942,0.634953464,0.634297521,,,From the Vega Physiographic Zone,,,,,,,,,,,
