Country,Region,Site,Zone ,Latitude (DD),Longitude (DD),Period,Phase,Start BP,End BP,Radiocarbon Dates (BP),Sourc(es),Table(s) Included,Total Chipped Stone,Total Chert ,Total Obsidian,Total Blade,Total Obstdion/Total Chipped Stone,Blade Ratio (Total Blades/Total Obsidian),Blade Ratio (Total Blades/Total Chipped Stone),,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(El Bosque),10L-5(IV/124),14.83952778,-89.14285556,Early Classic,Acbi,1550,1350,n/a,Aoyama (1999),"A1, A2.",197,67,130,99,0.659898477,0.761538462,0.502538071,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(El Bosque),(IV/124),14.83952778,-89.14285556,Early Classic,Acbi,1550,1350,n/a,Aoyama (1999),A2,359,0,359,276,1,0.768802228,0.768802228,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(El Bosque),(IV/129),14.83920833,-89.15248889,Early Classic,Acbi,1550,1350,n/a,Aoyama (1999),A2,28,0,28,18,1,0.642857143,0.642857143,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(El Bosque),V.S.(IV/124),14.83952778,-89.14285556,Early Classic,Acbi,1550,1350,n/a,Aoyama (1999),A1,102,102,0,0,0,0,0,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(El Bosque),10L-10(IV/153),14.83615556,-89.14418611,Early Classic,Acbi,1550,1350,n/a,Aoyama (1999),"A1, A2.",153,33,120,94,0.784313725,0.783333333,0.614379085,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(PrincipalGroup),"10L-1(Below Yax Str lot *37/5,*37/8",14.83821667,-89.14141111,Early Classic,Acbi,1550,1350,n/a,Aoyama (1999),"A1, A2.",128,20,108,75,0.84375,0.694444444,0.5859375,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(PrincipalGroup),10L-1(Yax Str. lot *37/5),14.83821667,-89.14141111,Early Classic,Acbi,1550,1350,n/a,Aoyama (1999),"A1, A2.",121,39,82,61,0.67768595,0.743902439,0.504132231,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(PrincipalGroup),10L-1(Motmot Str. lot *37/5),14.83821667,-89.14141111,Early Classic,Acbi,1550,1350,n/a,Aoyama (1999),"A1, A2.",125,10,115,80,0.92,0.695652174,0.64,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(PrincipalGroup),10L-1(Gran Corniza Platform lot 37/5/287,14.83821667,-89.14141111,Early Classic,Acbi,1550,1350,n/a,Aoyama (1999),"A1, A2.",968,1,967,614,0.998966942,0.634953464,0.634297521,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(PrincipalGroup),10L-1(Papagayo Str. lot *37/5),14.83821667,-89.14141111,Early Classic,Acbi,1550,1350,n/a,Aoyama (1999),"A1, A2.",108,3,105,83,0.972222222,0.79047619,0.768518519,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(PrincipalGroup),10L-1(Mascarones lot *37/5),14.83821667,-89.14141111,Early Classic,Acbi,1550,1350,n/a,Aoyama (1999),"A1, A2.",68,20,48,37,0.705882353,0.770833333,0.544117647,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(PrincipalGroup),10L-1(Chorcha Str. lot *37/5/266),14.83821667,-89.14141111,Early Classic,Acbi,1550,1350,n/a,Aoyama (1999),"A1, A2.",595,6,589,445,0.989915966,0.755517827,0.74789916,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(PrincipalGroup),10L-1(Great Plaza lot V/118/3),14.83821667,-89.14141111,Early Classic,Acbi,1550,1350,n/a,Aoyama (1999),"A1, A2.",668,3,665,437,0.995508982,0.657142857,0.654191617,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(PrincipalGroup),"10L-1(Great Plaza lot V/62,63)",14.83821667,-89.14141111,Early Classic,Acbi,1550,1350,n/a,Aoyama (1999),"A1, A2.",131,6,125,104,0.954198473,0.832,0.79389313,,,,,,,,,,,,,,
Guatemala,Pasión drainage site,Ceibal,n/a,16.89000833,-90.10330278,Late Preclassic,,2300,2025,n/a,Aoyama (2017),Supplemental Table 3,n/a,n/a,512,244,na,0.4765625,n/a,,,,,,,,,,,,,,
Guatemala,Pasión drainage site,Ceibal,n/a,16.89000833,-90.10330278,Terminal Preclassic,,2025,1750,n/a,Aoyama (2017),Supplemental Table 4,n/a,n/a,318,158,na,0.496855346,n/a,,,,,,,,,,,,,,
Guatemala,Pasión drainage site,Ceibal,n/a,16.89000833,-90.10330278,Early Classic,,1750,1350,n/a,Aoyama (2017),Supplemental Table 5,n/a,n/a,64,50,na,0.78125,n/a,,,,,,,,,,,,,,
